posto,ano,pico,duracao,volume
passo_real,2009,1719.5,2,379.78
passo_real,2010,2075.0,1,358.56
passo_real,2011,2292.7,4,728.98
passo_real,2012,1237.0,1,213.75
passo_real,2013,1157.8,2,261.62
passo_real,2014,1587.2,2,379.88
passo_real,2015,1881.0,4,654.49
passo_real,2016,1688.7,2,388.74
passo_real,2017,2577.9,17,2200.19
passo_real,2018,1222.5,2,293.2
passo_real,2019,1480.4,5,524.86
passo_real,2020,2856.8,4,890.73
passo_real,2021,1141.2,2,265.97
passo_real,2022,1284.9,4,510.49
passo_real,2023,2851.4,8,1188.67
jacui,1941,3151.5,14,2554.22
jacui,1942,1497.1,3,461.48
jacui,1943,692.7,2,174.5
jacui,1944,1263.1,3,362.06
jacui,1945,781.1,2,195.2
jacui,1946,983.7,1,169.98
jacui,1947,931.3,2,212.98
jacui,1948,1100.4,2,253.58
jacui,1949,791.8,1,136.82
jacui,1950,2264.6,3,630.82
jacui,1951,737.3,2,186.0
jacui,1952,594.7,0,0.0
jacui,1953,1801.4,13,1364.19
jacui,1954,1804.8,6,807.19
jacui,1955,1248.1,2,292.33
jacui,1956,2216.2,3,586.6
jacui,1957,1331.7,2,289.67
jacui,1958,1999.2,3,541.42
jacui,1959,1811.0,3,553.04
jacui,1960,1296.1,1,223.97
jacui,1961,3189.6,9,1623.1
jacui,1962,633.3,1,109.43
jacui,1963,1508.8,2,345.53
jacui,1964,1088.7,2,240.27
jacui,1965,1789.5,4,606.88
jacui,1966,1747.7,2,402.84
jacui,1967,1933.8,16,1535.66
jacui,1968,532.2,0,0.0
jacui,1969,564.0,0,0.0
jacui,1970,1804.7,2,423.58
jacui,1971,2884.5,3,744.66
jacui,1972,2627.5,9,1499.7
jacui,1973,1813.8,4,565.07
jacui,1974,1982.5,2,418.65
jacui,1975,1435.2,2,341.49
jacui,1976,1550.8,2,319.92
jacui,1977,1737.4,5,567.71
jacui,1978,1264.6,3,394.32
jacui,1979,1276.9,4,469.18
jacui,1980,1163.0,2,300.14
jacui,1981,1138.6,1,196.75
jacui,1982,1686.6,3,483.97
jacui,1983,2594.1,4,832.98
jacui,1984,2098.7,3,668.72
jacui,1985,1088.9,2,265.8
jacui,1986,1809.5,4,669.44
jacui,1987,1750.5,3,535.5
jacui,1988,1422.0,5,679.15
jacui,1989,2242.9,4,764.13
jacui,1990,1781.9,2,395.64
jacui,1991,589.6,0,0.0
jacui,1992,2970.7,2,641.7
jacui,1993,1279.6,3,401.1
jacui,1994,1222.2,6,588.64
jacui,1995,1176.0,2,267.44
jacui,1996,1009.1,2,238.13
jacui,1997,2823.1,10,1568.85
jacui,1998,1610.7,4,535.76
jacui,1999,725.9,1,125.44
jacui,2000,1617.1,2,396.51
jacui,2001,1967.2,3,549.12
jacui,2002,1505.6,2,341.53
jacui,2003,1813.0,2,414.55
jacui,2004,544.7,0,0.0
jacui,2005,1464.0,4,524.43
jacui,2006,968.6,2,231.79
jacui,2007,2475.8,3,657.73
jacui,2008,2011.2,3,540.66
jacui,2009,1714.3,2,378.29
jacui,2010,2052.7,1,354.71
jacui,2011,2301.3,4,729.24
jacui,2012,1225.0,1,211.68
jacui,2013,1154.4,2,260.59
jacui,2014,1589.2,2,379.61
jacui,2015,1889.0,4,656.41
jacui,2016,1685.4,2,387.48
jacui,2017,2591.5,17,2210.92
jacui,2018,1223.6,2,293.16
jacui,2019,1472.0,5,524.61
jacui,2020,2865.6,4,890.99
jacui,2021,1142.6,2,265.52
jacui,2022,1292.7,4,512.03
jacui,2023,2853.2,8,1190.6
itauba,1941,3768.2,13,2849.49
itauba,1942,1930.0,3,623.0
itauba,1943,999.0,1,172.63
itauba,1944,1527.2,2,377.03
itauba,1945,1156.7,3,365.7
itauba,1946,1221.9,2,285.49
itauba,1947,1138.2,1,196.68
itauba,1948,1323.3,2,311.56
itauba,1949,865.9,1,149.63
itauba,1950,2632.8,3,735.16
itauba,1951,923.6,2,238.96
itauba,1952,835.0,0,0.0
itauba,1953,2210.8,9,1435.94
itauba,1954,2038.4,5,846.85
itauba,1955,1744.1,2,423.52
itauba,1956,2613.9,3,714.04
itauba,1957,1488.9,2,384.2
itauba,1958,2363.4,3,659.53
itauba,1959,2249.8,3,708.97
itauba,1960,1723.6,2,371.19
itauba,1961,3334.7,8,1704.15
itauba,1962,679.3,0,0.0
itauba,1963,1842.3,2,438.65
itauba,1964,1302.6,1,225.09
itauba,1965,2391.4,4,771.1
itauba,1966,2147.2,2,498.99
itauba,1967,2253.0,2,525.86
itauba,1968,573.8,0,0.0
